unit_order,unit_id,unit_title,A4095,P3465,P3475,R2536,CCCP578,P3471
186,904ee778-7ff8-413f-8e47-9a2abd6fe5d4,King Must Consider the Untrustworthy as Foes,فهذه الأصناف أعداء الملك وأعدائي,,كلّ هؤلاء السلطان حقيق أن <لا> يسترسل إليهم ولا يثق بهم فإنّ كلّ هؤلاء حقيق أن لا يكونوا معه على عدوّه,,فأولئك الأصناف أهل أن لا يتّخذهم ملك ولا يقرّبهم,كلّ هؤلاء *الأصناف السلطان حقيق أن لا يسترسل إليهم ولا يثق بهم الملك ولا يستريح إليهم فإنّ كلّ هؤلاء *الأصناف حقيق أن يكونوا عليه مع عدوّه
187,b00c791e-8480-4b65-bc88-9c1b89af1969,Lion's Foes Were Able to Attack Jackal,وقد صار لهم السبيل إليّ والاستخفاف بي والجرأة عليّ,,,,,
188,9da8f918-2809-4c0e-80cd-50e50e9367fb,Jackal Was Accused despite His Loyalty,,,وقد صرت اليوم في ?نرادي الرأي عرضًا لأعداء الملك وليس ما أنا عليه للملك من المودّة والنصيحة بمانع الملك من اتّهامي وسوء الظنّ لما سبق منه وليس ما أُظهر له من مودّتي ونصيحتي مراقبة منزلتي من غير نيّة منّي في ذلك,,,وقد صرت اليوم في بادي <الرأي> عرضًا لأعداء الملك وليس ما أنا عليه للملك من النصيحة والمودّة بمانع للملك من اتّهامي وسوء الظنّ بي لأنّي قد نُزّلت منزلة من كان ?قايد عدوّ للملك وعونه على ابنه ووزيره على رأيه لما قد سبق منه فأنا وإن كان قلبي له سليمًا على مثل الذي كان عليه فيما مضى وليس ما أُظهر له من مودّتي ونصيحتي مراقبته منّي له من غير نيّة منّي في ذلك
189,069aecb1-184d-4704-893d-3f8b22ce7a73,Lion Deserves Harangue for Bad Judgment,قال الأسد ما أحسن كلامك وأغلظه قال ابن آوى أيّها الملك لا يغلظنّ عليك ولا يَخْشُن الحقّ والصدق إن خفّ عليك الكذب والباطل ممّا حملت به عليّ ولا تحملنّ جوابي لك على الغلظة في محاورتي إيّاك <وعلى> سفه رأي وقلّة بصر بما أقول,,,,,
190,fb333a15-358c-4e96-99aa-1df5174eccb3,Jackal Justifies Harangue,ولكن قد قلت ذلك لخصلتين منهما أنّ في القصاص تسلية الضغائن وإطلاقًا لمنعقد الحقد وأحببت أن أخرج ما في نفسي ممّا وترتني به ليسلم لك صدري من الضغن ولتخلص لك منه سلامة العتب ومنهما أنّي أحببت أن تكون أنت الحاكم على نفسك وألّا أكون أنا الحاكم عليك مع أنّي لم *أجترئ على هذه المقالة حتّى استعهدتك من نفسك,,,,,
191,cd0078f5-1990-437d-919d-7679f42a8d28,Jackal Credits King's Mother,قال الأسد أولم أحسن التثبّت في ?أمرك قال ابن آوى إنّما كان التثبّت من أمّ الملك وكان التعجيل بقتلي من قِبَلك أيّها الملك,,,,,
192,901dd5f7-70e0-46f6-9ea9-e7ba95d34ec0,Lion Expects Credit for Admitting Error,قال الأسد ألم تزعم أن التجاوز عن إساءة العمد أفضل ما يكون من ?الإحسان فكيف لا يكون ذلك لأهل الخروج عن الخطأ على الكَرْه إلى الإحسان على ?علم,,,,,
193,35899c9b-7d3a-49e5-adb0-5cf754ccdbf3,Jackal Fears a Vulnerable Relationship with Lion,قال ابن آوى إن لم أقل ما قلت لأوقف الملك على إساءة في أمري ولا على الخطأ في أمره وحكمه في شأني ولكنّي أيضًا قد تخوّفت موضعًا حدث لأهل المكر يجدون به فيما بيني وبينك مدخلًا,,,,,
194,2a88d3eb-9ba6-475f-bd2d-2092e0c26071,Jackal Fears Accusation of Holding Grudge,قال الأسد وما ذاك ?الموضع قال يُقال لك أيّها الملك قد دخلتْ قلب ابن آوى عليك ضغينة فيما أدخلت عليه من التهمة والوحشة وما *أشربت به قلبه من الإشراف على الهلكة فقال كذا وكذا,,,,,
195,2bac04e4-ebe8-4b01-8f7b-606db06be372,Kings Expect Grudges from the Mistreated,وهذا سبب مظنون بالملوك بمن أصابته منهم عقوبة أو جفوة أو تغيّر منزلة أو عزل عن سلطان أو *أُوثر لغيره عليه ممّن هو دونه في المنزلة والحال,,,,,
196,37216cec-a40c-4af4-993a-f7e4f126f549,Jackal Expects Lion's Mistrust,,,قال *للملك وإن كان قلبه على ما هو عليه من المودّة والنصيحة إذ لم يطّلع على ذات نفسي خليق أن يقول ويقع في نفسه لعلّ ابن آوى أن يحقد على ما كان منّي ويبتغي عليّ القوائل,,قال ابن آوى وأنا أيّها الملك قد نزلت منزلة أولئك وإن كان قلبي سليمًا على مثل الذي كان عليه فلعلّه أن لا يكون يعلم ?بدات ولا ?بتوني ولا يطمئنّ إليّ أو يقول إنّ ابن آوى ما ينسى ما لقيه من الهوان وإنّ الذي يظهر لي منه ليس بحقيقة,فلعلّه أن لا يكون يعلم ذات نفسي فلا يثق بي ولا يطمئنّ إليّ أو يقول أن يجيبني ابن آوى بعد الذي لقي منّي من الهوان وإنّ الذي يظهر لي ليس بحقيقة ما هو عليه وإنّما هو شيء يتصنّع به وليس يجد من ذلك بدًّا
197,8c6fc42b-be4f-4f95-88fa-50e299dfa9ef,Jackal Expects Follow Up Schemes,,,ولست مع ذلك آمنًا من عداوة أعدائي بتحميل الملك عليّ بالكذب والباطل إشفاقًا من مكافأتي لهم وحرصًا أن لا يستحقّ عند الملك كذبهم عليّ,,,ولست مع ذلك آمنًا من عودة من مَحَل بي عنده من أعدائي أن يحمّلوا الملك ثانية عليّ بالكذب والباطل ويوطئوه من أمري *عشوة إشفاقًا من مكافأتي لهنّ وحرصًا على أن لا يستحقّ عنه الملك كذبهم فيما حمّلوه به عليّ
198,7e3cd403-450c-43ec-afa4-f65e85882b2a,Jackal's Inner Struggle about Return,,,,,فلو ذهبت أحمل نفسي على غير ما تيقّنت من ذلك أو ظاهرها على الثقة والطمأنينة إليه بعد الذي كان منه إليّ على غير جرم منّي إنّه عائد إلى مثل ذلك بعد الأيمان المؤكّدة والأمان على ذلك,وقد كان من إظنانه إيّاي ما قد علمت حتّى بلغ ما بلغ فلو ذهبت أحمل على نفسي غير ما تيقّنت من ذلك وإقهارها على الثقة به والطمأنينة إليه بعد الذي كان منه إليّ في غير كنهه أو حدّثتها أنّه عائد إلى الذي كان لي عليه في الائتمان والاستراحة لم تشايعني على ذلك وكانت قد رأت منه ما هي معذورة بالشكّ فيه وقلّة الثقة به
199,6491b5f5-736b-4b08-8015-754b0840e758,Lion Must Accept Jackal's Mistrust of Courtiers,,,,,,فلا يجدنّ الملك عليّ من قولي أنّ نفسي غير مطمئنّة لما سبق إليها وأنّي غير واثق بمن ببابه
200,15ff6cf9-22ab-492f-8913-fa7bfba99a17,Jackal Fears Renewed Schemes,,,,,وإنّما خوفي تحمّلوه عليّ مرّة ثانية وقد كان من ظنّه بأمري ما قد علمه,
201,8e7c77f3-7e24-4dae-8743-0f218b39e4fa,Jackal Fears Lion's Renewed Wavering,,,,فإنّي اليوم بالمنزلة التي كنت عدوًّا للملك فالملك وإن كان أراد قتلي على ما كنت عليه من النصيحة إذا لم تطّلع على ذات نفسي ثمّ تفضّل عليّ بالعفو وصرّح عذري له فإنّي خائف لا يعرض في قلبك أنّي مصطنع لما كان منك في أمري فيحملك ذلك على إهلاكي,,فإنّهم لم يتركوا قصدي وتعمّدي بمثل ما يتعمّد به عدوّ الملك وإن كان أراد قتلي على ما كنت عليه من النصيحة له بعد أن ظهرت إذ لم يطّلع على ذات نفسي ثمّ تفضّل عليّ بالعفو بعد وضوح عذري له فإنّي خائف أن يعرض في قلبك إلى ?مصطفن لما كان منك في أمري فيحملك ذلك على إهلاكي
202,f16fe9b6-8d5b-450a-99ed-576bef54aef0,Schemers Will Attempt to Cover Up Their Plot,,,,مع أنّ أعدائي سيقولون إنّا لا ندع إذ لم نستطعْ بلوغ حاجتنا من ابن آوى وأن نحتال له لئلّا يرى الملك أنّ الذي رفعنا إليه في أمره كان كذبًا فيبغوني الغوائل فلو أنّ قلب الملك عاد بي إلى ما كنت عليه قبل اليوم إنّي لكما كنت,,مع أنّ أعدائي سيقولون إنّا لا ندع إذ لم *نستطيع بلوغًا في ابن آوى أن *نحتال له عودًا على بدء لئلّا يرى الملك أنّ الذي رفعنا إليه في أمره كان كذبًا فيسبقوني *الغوائل
203,71571fdc-756d-492c-99f6-258b65f0c8ce,Jackal Fears Lion's Gullibility,,,فإذا فعلوا ذلك لم يحتاجوا في قبول الملك ذلك منهم إلى عون أقوى من هذه التهمة التي وقعت في نفس الملك مع أنّ الملك لو كان في الثقة بي وقلّة الاتّهام لي على ما كان عليه ما كان ذلك مُغنيًا عنّي فلمّا وجدت بدًّا من تخوّف تهمته لنصحي وسوء ظنّه فيّ وسرعته إلى تصديق فيما يحملونه به عليّ لما أتذكّر من عجلته التي كانت إليّ,,,فإذا فعلوا ذلك لم يحتاجوا في قبول الملك ذلك منهم إلى عون أقوى من هذه التهمة التي وقعت فيها في نفس الملك مع أنّ الملك لو كان في الثقة وقلّة الاتّهام لي على ما كان عليه ما كان ذلك عنّي مغنيًا ولما وجدت بدًّا من تخوّف همّته ولو عاد قلبه لي إلى ما كان عليه لشككت في ذلك لفضيحتي وسوء ظنّه بي وسرعته إلى تصديق أعدائي فيما يحملونه عليّ لما أتذكر من عجلته كانت إليّ فإذا
204,9b7e7661-1780-4fc4-b90f-52773d70db9b,Jackal Gives Lion the Choice,,,فإذا كانت لي حال الملك في الثقة بي على ما وصفت فلينظر وجه ما *يريدني عليه من صحبته,,فلينظر الملك فيما ذكره,كانت حال الملك في الثقة بي وحالي في الثقة به على ما وصفت فلينظر وجه ما يريدني عليه من صحبته
205,313c5218-8f88-46e4-a35a-46530d089ba8,Jackal Gives Conditions for Return,,,,,فإنّ الملك وإن كان لي عليه فيما مضى من الطمأنينة والنصح ولا يصدّق عليّ كلام الأعداء ولا يقبل فيّ قول الفجرة فليرى الملك رأيه في ذلك فإنّه عند حسن ظنّي به وأملي فيه,فإن كان الملك يجعل لي على نفسه إن هو ردّني إلى منزلتي التي كنت بها منه أن يعود إلى الذي كان لي عليه فيما مضى من الطمأنينة إلى ما قبلي والانتصاح لي وأن لا يصدّق عليّ أقاويل الأعادي المَحَلة الفجرة فليرى في ذلك رأيه فإنّي عند حسن ظنّه بي وأمله فيّ
206,05e83568-d203-4ef2-a5ad-1e7d9729a6c5,Jackal Renounces Lion's Service,,,,,,
207,657e8c8f-7f04-4c70-8733-62711be8cc5f,"If Unsure, Lion Must Excuse Jackal",,,,,وإن كان الملك يخاف نفسه منّي أو كان غير واثق إليّ فإعفاؤه عنّي أفضل لي وإعادتي إلى ما كنت عليه من قبل,وإن كان يتخوّف نفسه عليّ أو كان غير واثق بي فإعفاؤه إيّاي أفضل لي وخير له خاصّة
208,1fca52ef-077c-4cb8-bd41-e8f2a2c4b8af,Lion Says He Tested Jackal,,,قال الأسد إنّي قد بُلوت طبائعك وأخلاقك,قال الأسد قد جرّبتك,قال الأسد قد بلوتك وجرّبت أمانتك وصدقك ووفاءك وعلمت كذب من سعى بك,قال الأسد إنّي [لو] بلوت طبائعك وأخلاقك وجرّبت أمانتك ووفاءك وصدقك وعرفت كذب من محل بك
209,f23b1065-c324-453d-a380-dfaf260ac567,Lion Confirms Jackal's Status,فإنّا منزّلوك منزلة الكرام الأخيار,,فرأيتها طبائع الكرماء الأخيار,وأنت عندي بأفضل منازل الأبرار والصالحين,,فمنزلتك في نفسي منزلة الأبرار الكرماء الصالحين الأخيار
210,99bc2497-b0f9-495b-8c4f-043c78a1ad05,Lion Vows to Disregard Future Slander,قال الأسد إنّك لست ممّن يُصدّق عليه بالقبيح وقد عرفتك بالأثر الحسن وإنّك عندنا ممّن تشكر الحسنة وتحتمل السيّئة وتذكر جميع ما أُبلي فلا يعرض بك تخوّف *لقبولي فيك قبيحًا ليأتي به آت ولا !يستوطنك ما حسُن ظنّنا فيك وأقمْ على ما ولّيناك من أمرنا,,,,ولست مصدّقًا عليك قولًا أبدًا مع ما أنّ نفسي تحدّثني بإكرامك وإلطافك والإحسان إليك حتّى تنسى ذلك فلا تدخلْ على نفسك منّي خوفًا ولا رعبًا أبدًا,وليست ?مصطيعًا عليك ولا قائًلا قول أحد فيك <حتّى> يستبين ذلك لك وللجند ويعرفوا منزلتك منّي وخاصّتك عندي وتثق بي وتطمئنّ إليّ
211,9e211484-abf3-4620-aaca-c15cf48a75b7,The Noble Forgives Misdeeds for One Good Deed,والكريم تنسيه الخلّة الواحدة من الإحسان ألف خلّة من الإساءة,,والكريم تنسيه الخلّة الواحدة من الإحسان ألف إساءة واللئيم بضدّ ذلك,فإنّ الرجل الصالح يغفر ألف سيّئة بحسنة واحدة,,فإنّ الرجل الكريم الصالح !تنبه الخلّة الواحدة من الإحسان ويغفر له ألف خلّة من الإساءة واللئيم !تنبه الخلّة الواحدة من الإساءة ألف خلّة من الإحسان ثمّ ترسخ في قلبه فلا تزايله أو يظفر بطلبته منها أو يهلك
212,dea20bf0-65d7-4f66-aabb-e215704db6cb,Lion Repents and Reconciles Jackal,,,,وأنا المسيء إليك وقد استقرّ عندي ظلم أعدائك لك وأنت حقيق بأن تغفر لي ذنبي لسالف إحساني إليك ويكون كلّ واحد منّا لصاحبه فيما يستقبل أثبت مودّة وأوثق نصيحة ممّا كنّا عليه,,وأنت حقيق أن تغفر ذنبي لسالف إحساني إليك ويكون كلّ واحد منّا لصاحبه فيما يستقبل أثبت مودّة وأوثق نصيحة ممّا كنّا عليه
213,116ad104-297b-4c9a-a71d-ed7d13d4c9c8,Lion Keeps His Promise,,,,,قال ثمّ فعل الأسد ذلك ذلّة ووفاء له بجميع ما ذكره وانتفع بذلك منه وصلح وحسن حاله,
214,cf01c31b-2e5c-4ffa-a62a-86b65ff6b232,Lion Hopes for Renewed Mutual Trust,,,وأنا واثق بك وذاكر ما سلف من إحسانك فذكر جميع ما كان عليه ابن آوى من مودّة الأسد,,,وأنا واثق أنّه *سينسيك ما سلف من إحساننا إليك *وما يتجدّد لك من إكرامنا وعندنا من الكرامة لك والبذل ما بدر من ما فرط منّا في أمرك وقد عدنا للثقة بك فعُدْ أنت للثقة بنا وبما قبلنا فإنّه كائن لك غبطة وسرور
215,6a004fd3-654e-4ee2-9fab-fd9ab840970a,Jackal Quits,,,وأنا منصرف إلى البرّيّة والتخلّي وما لم أزلْ عليه ففارق الأسد على حسن صفح منه عنه *ومعرفة ببراءته وعقله ومودّته,,,
216,b29723e2-45b1-454d-a255-4f964541e921,Jackal Insists on Refusal,,,,,,
217,bd1fc1e4-040f-45ee-a4aa-c25430308d6d,Lion Reinstates Jackal,,فلم يلتفتْ الأسد إلى كلامه وأمر بابن آوى أن يُردّ إلى منزلته,,ثمّ أمر ابن آوى أن يرجع إلى منزلته التي كان عليها وعمله الذي كان يلي فرجع وأصاب من الأسد ما أحبّ,,ثمّ أمر ابن آوى أن يرجع إلى منزلته التي كانت عليها وعمله الذي كان يلي من {أمر} الأسد فرجع فأصاب من الأسد ما أحبّ
218,fa5c6c2d-7060-42c1-8918-4ee988e3b844,Lion Punishes Schemers,,,,وحفظ الأسد أولئك الذين بغوا عليه فنفاهم وأقصاهم وقتلهم,,وحفظ الأسد معرفة الذين بغوا عليه فبغى عليهم في المستقبل وقتلهم
219,bcf4a541-35a8-4df4-ab3e-faa4d9c39154,Lion Is Pleased with Jackal,وأضعف له الملك الكرامة وازداد به ثقة وإليه تفويضًا وبه اغتباطًا حتّى هلك,ولم تزدْه الأيّام إلّا تقرّبًا,,,,ولم تزلْ الأيّام تزيد ابن آوى سرورًا وتحدث للأسد بابن آوى انتفاعًا واحتياطًا حتّى هلك
220,85ac16fe-348c-4c9a-accd-6ae23adeb21a,Gist Mistreated Is Reinstated,,,,فهذا مثل الملوك فيما بينهم وبين قرابتهم وزراءهم في مراجعتهم بعد العقوبة,,فهذا مثل الملوك ***
221,60c4d44c-704c-492d-be26-6957d0a44109,Philosopher Comments,,,,,ثمّ قال الفيلسوف للملك إذا كان الأسد ينظر إلى مراجعة وزيره ويطلب ذلك ويرغب فيه وكان وزيره مجيبه إلى ذلك ويعرف حظّه منه بعد الذي كان منه إليه وما قد أشرف عليه من الهلاك والتلاف,ثمّ قال الفيلسوف فإذا كان الأسد ينظر في مراجعة وزيره ونصيحته ويطلب ذلك منه ويرغب فيه وكان وزيره يجيبه إلى ذلك ويعرف حظّه فيه بعد ما سلف منه إليه
222,334f3b54-ce7b-44e0-8b0e-733d1a0e1dce,People Should Learn from Parable,,,,,فالملك وخاصّته أحرى أن يأخذوا في ذلك ما يرون أنّه يزيّن لنورهم ويقودهم إلى الرشد وإلى الحقّ والتوفيق والخير والسعادة الدائمة في الدنيا والآخرة,فالملك وأهل خاصّته جدراء أن يأخذوا من ذلك بما يزيّن أمورهم ويكون فيه الرشد لهم والحظّ وعظم التوفيق للخير وكلّ شيء قصدوه يتمّ لهم إن شاء الله تعالى
223,7b36eb2e-2535-44b2-a3a5-0d25772415e5,End of Chapter,,انقضى باب الأسد وابن آوى,,تمّ الباب وكمل إن شاء الله تعالى,وهذا آخر باب الأسد وابن آوى,*تمّ وكمل باب الأسد وابن آوى الناسك واسمه السفهير الصوّام والحمد لله وحده
